,angle,camera_path,info,lidar_path
0,0.033161256,D:/Udacity/bag1/camera/1479424216230735818.png,23:10:16,D:/Udacity/bag1/lidar/1479424216.608374767.pcd
3,0.027925268,D:/Udacity/bag1/camera/1479424216380799785.png,23:10:16,D:/Udacity/bag1/lidar/1479424216.406963520.pcd
4,0.006981317,D:/Udacity/bag1/camera/1479424217030843881.png,23:10:17,D:/Udacity/bag1/lidar/1479424217.010962627.pcd
5,0.015707964,D:/Udacity/bag1/camera/1479424217080912028.png,23:10:17,D:/Udacity/bag1/lidar/1479424217.212302974.pcd
10,0.017453292,D:/Udacity/bag1/camera/1479424217180921434.png,23:10:17,D:/Udacity/bag1/lidar/1479424217.413654520.pcd
14,0.013962634,D:/Udacity/bag1/camera/1479424217630965458.png,23:10:17,D:/Udacity/bag1/lidar/1479424217.615046098.pcd
22,0.012217305,D:/Udacity/bag1/camera/1479424218031072919.png,23:10:18,D:/Udacity/bag1/lidar/1479424218.017686458.pcd
23,0.02617994,D:/Udacity/bag1/camera/1479424219181246073.png,23:10:19,D:/Udacity/bag1/lidar/1479424219.225695521.pcd
28,0.027925268,D:/Udacity/bag1/camera/1479424219431282688.png,23:10:19,D:/Udacity/bag1/lidar/1479424219.427063750.pcd
29,0.033161256,D:/Udacity/bag1/camera/1479424219581350087.png,23:10:19,D:/Udacity/bag1/lidar/1479424219.628436229.pcd
31,0.038397245,D:/Udacity/bag1/camera/1479424219731299498.png,23:10:19,D:/Udacity/bag1/lidar/1479424219.829875069.pcd
36,0.031415928,D:/Udacity/bag1/camera/1479424220031371306.png,23:10:20,D:/Udacity/bag1/lidar/1479424220.031099053.pcd
37,0.027925268,D:/Udacity/bag1/camera/1479424220082076483.png,23:10:20,D:/Udacity/bag1/lidar/1479424220.232413803.pcd
40,0.008726646,D:/Udacity/bag1/camera/1479424220581417482.png,23:10:20,D:/Udacity/bag1/lidar/1479424220.635075606.pcd
43,0.012217305,D:/Udacity/bag1/camera/1479424220781546160.png,23:10:20,D:/Udacity/bag1/lidar/1479424220.836438371.pcd
45,0.008726646,D:/Udacity/bag1/camera/1479424221031555584.png,23:10:21,D:/Udacity/bag1/lidar/1479424221.037816982.pcd
46,0.006981317,D:/Udacity/bag1/camera/1479424221131588304.png,23:10:21,D:/Udacity/bag1/lidar/1479424221.239136809.pcd
51,0.005235988,D:/Udacity/bag1/camera/1479424221381654122.png,23:10:21,D:/Udacity/bag1/lidar/1479424221.440512970.pcd
53,0.003490658,D:/Udacity/bag1/camera/1479424221531631336.png,23:10:21,D:/Udacity/bag1/lidar/1479424221.641784626.pcd
56,0.008726646,D:/Udacity/bag1/camera/1479424222231726774.png,23:10:22,D:/Udacity/bag1/lidar/1479424222.228051461.pcd
58,0.005235988,D:/Udacity/bag1/camera/1479424222381785942.png,23:10:22,D:/Udacity/bag1/lidar/1479424222.429121700.pcd
63,0.001745329,D:/Udacity/bag1/camera/1479424222731823106.png,23:10:22,D:/Udacity/bag1/lidar/1479424222.831778893.pcd
66,-0.029670598,D:/Udacity/bag1/camera/1479424223632016516.png,23:10:23,D:/Udacity/bag1/lidar/1479424223.637185224.pcd
67,-0.013962634,D:/Udacity/bag1/camera/1479424223832003182.png,23:10:23,D:/Udacity/bag1/lidar/1479424223.838505580.pcd
68,0.013962634,D:/Udacity/bag1/camera/1479424224632192100.png,23:10:24,D:/Udacity/bag1/lidar/1479424224.643884771.pcd
70,0.033161256,D:/Udacity/bag1/camera/1479424225182312042.png,23:10:25,D:/Udacity/bag1/lidar/1479424225.247895118.pcd
74,0.034906585,D:/Udacity/bag1/camera/1479424225432294218.png,23:10:25,D:/Udacity/bag1/lidar/1479424225.449211543.pcd
76,0.06981317,D:/Udacity/bag1/camera/1479424225782421966.png,23:10:25,D:/Udacity/bag1/lidar/1479424225.851913837.pcd
79,0.083775803,D:/Udacity/bag1/camera/1479424226032447625.png,23:10:26,D:/Udacity/bag1/lidar/1479424226.053510938.pcd
80,0.104719758,D:/Udacity/bag1/camera/1479424226382548101.png,23:10:26,D:/Udacity/bag1/lidar/1479424226.455941558.pcd
84,0.109955743,D:/Udacity/bag1/camera/1479424226682591140.png,23:10:26,D:/Udacity/bag1/lidar/1479424226.858628570.pcd
87,0.075049154,D:/Udacity/bag1/camera/1479424227282648729.png,23:10:27,D:/Udacity/bag1/lidar/1479424227.274320529.pcd
88,0.071558498,D:/Udacity/bag1/camera/1479424227482652977.png,23:10:27,D:/Udacity/bag1/lidar/1479424227.475651872.pcd
92,0.123918377,D:/Udacity/bag1/camera/1479424229032915232.png,23:10:29,D:/Udacity/bag1/lidar/1479424229.086383175.pcd
96,0.129154369,D:/Udacity/bag1/camera/1479424229232907496.png,23:10:29,D:/Udacity/bag1/lidar/1479424229.287702554.pcd
99,0.078539819,D:/Udacity/bag1/camera/1479424231733385363.png,23:10:31,D:/Udacity/bag1/lidar/1479424231.703782263.pcd
100,0.062831856,D:/Udacity/bag1/camera/1479424231933589491.png,23:10:31,D:/Udacity/bag1/lidar/1479424231.905096469.pcd
102,0.104719758,D:/Udacity/bag1/camera/1479424232433537821.png,23:10:32,D:/Udacity/bag1/lidar/1479424232.509140859.pcd
105,0.106465086,D:/Udacity/bag1/camera/1479424232633578735.png,23:10:32,D:/Udacity/bag1/lidar/1479424232.608034364.pcd
106,0.108210415,D:/Udacity/bag1/camera/1479424232683581056.png,23:10:32,D:/Udacity/bag1/lidar/1479424232.808652684.pcd
109,0.109955743,D:/Udacity/bag1/camera/1479424233033654313.png,23:10:33,D:/Udacity/bag1/lidar/1479424233.010211489.pcd
110,0.097738437,D:/Udacity/bag1/camera/1479424233183678498.png,23:10:33,D:/Udacity/bag1/lidar/1479424233.211304595.pcd
111,0.064577185,D:/Udacity/bag1/camera/1479424234033933755.png,23:10:34,D:/Udacity/bag1/lidar/1479424234.016700796.pcd
112,0.075049154,D:/Udacity/bag1/camera/1479424234333954110.png,23:10:34,D:/Udacity/bag1/lidar/1479424234.419349482.pcd
115,0.092502452,D:/Udacity/bag1/camera/1479424234833988036.png,23:10:34,D:/Udacity/bag1/lidar/1479424234.822037989.pcd
116,0.106465086,D:/Udacity/bag1/camera/1479424235034156181.png,23:10:35,D:/Udacity/bag1/lidar/1479424235.023362850.pcd
124,0.116937056,D:/Udacity/bag1/camera/1479424235834126998.png,23:10:35,D:/Udacity/bag1/lidar/1479424235.828736988.pcd
126,0.111701071,D:/Udacity/bag1/camera/1479424236034173264.png,23:10:36,D:/Udacity/bag1/lidar/1479424236.030097710.pcd
134,0.106465086,D:/Udacity/bag1/camera/1479424236384222253.png,23:10:36,D:/Udacity/bag1/lidar/1479424236.752320648.pcd
140,0.104719758,D:/Udacity/bag1/camera/1479424236534243093.png,23:10:36,D:/Udacity/bag1/lidar/1479424236.550964067.pcd
